sentence,Sentiments,Bayes
"Bijag increasing the price of subsidies is what sells in a healthy fiscal country Bijag subsidies Indonesia has long mistargeted the risks of an open subsidy system, everyone buys subsidies",Positif,Positif
Nexian Messenger level prices are ready to be an alternative,Positif,Positif
go according to the price,Netral,Netral
"work, work, debt, debt, debt, stall, stall, loss, loss, loss, clear success and results, increase prices before tax, hopefully",Negatif,Negatif
I agree that prices are getting more expensive as long as smiles are still cheap for me,Positif,Positif
"car toll roads, the national debt has doubled, Mr. Jkw, of course the debt burden remains, orders to follow, what's up with the falling world oil prices are falling drastically, is Pertamina crying out for losses?",Negatif,Negatif
"stupid idea, all tariffs, prices are always different, rich, poor, electricity gas subsidies, now the end of the new idea, MW train tariffs are different, rich, poor, according to this, the regime's stupid idea",Negatif,Negatif
direction of the order according to the price,Netral,Netral
The effect of forced increases in drinking prices is said,Negatif,Netral
support at the right price,Positif,Positif
"brain calculations, not yet, subsidies for the people are swollen, which is delicious, subsidies for middle people over the mafia so that it is fair, doesn't make portalite prices rise so that the country doesn't go bankrupt, budget crisis, it's a bit smart, really.",Positif,Negatif
support according to good prices,Positif,Positif
"the law needs to be increased, you continue to develop the country, not Indonesia's pin, so it's a stupid zone, add to the stranglehold of society, increase the price, add stupidity due to rarely going to school, add buildings, no use, add debt",Negatif,Negatif
according to the price is good,Positif,Positif
keep in mind that oil prices go up and oil prices go down,Netral,Netral
reducing plagiarism is difficult to reduce prices,Negatif,Positif
support orders according to price,Positif,Positif
"""Subsidize"" just reduce the market price so it's always noisy",Negatif,Positif
"ma'am maharani, the parliament will definitely support the use of electric vehicles, less air pollution, less subsidies while the world oil price continues to rise, ma'am, I hope the people",Positif,Positif
tomorrow the price goes up,Netral,Netral
"high prices, taxes are going up, cigarette excise is going up, don't joke",Negatif,Negatif
"Just check when Jokowi's prices will increase, keep googling to make an event in the Toba area around this month, who do you call hahaha",Positif,Positif
"Because fuel prices are about to rise, hundreds of public transportation drivers have changed their profession to become boy bands",Netral,Positif
pure work price gmnsblm power demo up bbmbhkn until walk outstlh power,Netral,Netral
support according to price,Positif,Positif
rising price,Netral,Netral
"waduuhh will only increase the suffering of the people, the effect of the increase in subsidies until now, there is no medicine for the people, it is difficult to get a job, the price of groceries is going up, the cost of transportation is going up, now the people have to tighten their belts, far away from the people's welfare, sorry for the people",Negatif,Negatif
"To record using an EDC machine, it's just a formality, but the price goes up as people are stupid, while the handshake is delicious",Positif,Negatif
"Determine the Pertamina price in this way, but take a sample price for the subdistrict head, just wait, the margin calculation is one hundred price points, including outside the box, don't forget factors like the dollar exchange rate.",Negatif,Negatif
"If Jokowi gives up on increasing the price of Pertalite, it won't be great for the people",Negatif,Positif
I agree that prices are getting more expensive as long as smiles are still cheap for me,Positif,Positif
World Bank Indonesia saves on price increases in September,Netral,Netral
Mypertamina's role is as a control tool to help identify consumers. Pertamina's subsidies protect the public's rights to encourage the existence of a one price program,Positif,Positif
"there is mypertamina, upper class people buy Pertamina subsidies in an effort to encourage regional price flattening",Positif,Positif
"wise it's strange it's not clear what the people's policy is, don't the government buy agricultural grain with the market price of agricultural fertilizer subsidized? fuel is reduced or does it directly touch the small people?",Positif,Positif
"It's a matter of people not being comfortable with price increases until the old information tells the story of price increases instead of getting information, so understand the information, criticize it, criticize it",Negatif,Negatif
"Your narrative is divided about Jokowi Dewa, even though Jokowi's master plan is mandatory for his cabinet, he just blocks and Pdip goes in and wants to raise prices, Pdip says he is pro the small people.",Negatif,Negatif
"Indonesian raw materials so we have raw petroleum raw materials with Singaporean businesses at cheap prices and then process them until they become Indonesian, buy at high prices",Netral,Negatif
still support according to price,Positif,Positif
"If you reduce the price, it needs to be studied in the form of an indirect order, just lower the level",Negatif,Negatif
"Do you want to lower the price as long as the mechanism works, it will rarely go down, that's okay",Netral,Netral
I have not seen the price of rice go down as high as in Asean,Netral,Netral
"People are comfortable with the price going up, do you want to increase it to make it more comfortable, make it wise, don't comment, comment to be wise, instead comment, challenge Allah, very cool",Positif,Positif
aim to sell according to price,Netral,Netral
"friends, when all the gas stations throughout Indonesia entered Papua, the retail prices were the same, it was bullshit, saying that now the prices are even.",Negatif,Positif
"Rising prices make people realize that an economical car is important. I think it's better to have an economical car than a luxury one. Moreover, now there are lots of economical cars, look at luxury, follow the recommendations",Positif,Positif
go according to the price,Netral,Netral
Indonesian prices are one of the cheapest in ASEAN and even Asia,Netral,Netral
How much does Pertamina type Pertalite cost? The subsidy order means mismanagement,Netral,Netral
"Bhabinkamtibmas personnel from Tapung Hulu Sector Police, Aipda Ferry Monika Sh Briptu Marwansyah, carry out patrols and monitoring gas stations according to subsidy prices in the jurisdiction of the Tapung Downstream Police, creating a safe security and order situation.",Positif,Positif
according to the price of prosperity,Netral,Netral
what's the price?,Netral,Netral
he said he wanted to flatten prices across Indonesia,Netral,Netral
"You know, why are world prices going up, it's said that world prices are going down drastically, why are they going up? Erick Tohir, where do you say you want to go down if world oil prices go down, it's really a joke to run the country.",Positif,Positif
"In the past, prices were the same for all cities as the island of Java",Netral,Netral
"because the price rises, the quantity for BB to move cross",Netral,Netral
Ageng Sutriana Kadin Kuningan District supports according to price,Positif,Positif
"In fact, when Pertamina sells its business, how much does Pertamina sell at a high price? It's already making a business, let the market talk about what people's tastes are.",Netral,Positif
"Abdurrachman Saleh, Director of Public Research Analysis Institute, Director of FKDM, Bogor City, support according to price",Positif,Positif
"take care of the brass district chamber of commerce, support according to price",Positif,Positif
"Come on, support wisely according to price",Positif,Positif
evil regime if prices go down prices go down,Negatif,Netral
Jokowi gave up his helmet and the price of Pertalite went up,Netral,Netral
"remember how gratitude has become the fruit of an expensive phenomenon, buy it before, have experienced very cheap prices, don't buy it, why buy it if you have a vehicle, don't have a motorbike",Positif,Negatif
"Subsidy transfer so blt take care of the purchasing power of the community in the midst of rising prices, they need trees",Positif,Positif
"blt transfers subsidies to accept that people need each other, hopefully the social assistance will be light, protect vulnerable people from the poor, reduce the volatility of rising global prices, Indonesia's poverty rate will continue to decrease",Negatif,Negatif
The price must be different for the rich and poor. The types of motorbikes must be different without saying that the state is losing money,Negatif,Negatif
"Indeed, the price tax has been levied, prices have gone up because the prices of all the people paying have gone up for goods, basic food products, rich or poor views, teach you about microeconomics, macroeconomics",Positif,Positif
"Use your brain if you want to comment, the greater the national debt, the burden on the people, everything is taxed, the price requires a basic price level, the price level is reasonable, if the people comment on the national debt, it's up to the minister to use his own money.",Negatif,Positif
"Even though world oil prices are falling, don't expect prices to fall too",Negatif,Negatif
"It's clear that the profit is that when world crude prices fall, even negative, Pertamina still sells to the people at high prices. The problem is not Pertamina. The profit is that the people lose when buying Peetamina.",Negatif,Negatif
You have to lower it if you have given up opening. Prices increase,Positif,Positif
"Under the leadership of Puan Maharani, parliament will take a sharp look at the function of monitoring shortages of migrants and responsive price increases on fair issues, gender issues, hopes of the people",Positif,Positif
Jokowi finally gives up on increasing the price of pertalite,Netral,Netral
"Open PO guys, the price is the same even though the price attitude is different",Negatif,Netral
the game has gone up in price,Netral,Netral
Helping with the community's one fair price program,Positif,Positif
"keep yelling subsidies, the price of the country is high, the price is low, and everyone is low",Negatif,Negatif
So I would rather just surrender to complaining about prices which are always a barometer of the Indonesian economy,Negatif,Negatif
"There is a fixed selling price, perhaps the official Pertamina monitors the price that is good for consumers' tastes, but many honest traders charge it according to taking a reasonable profit.",Positif,Positif
Anton went up in price,Netral,Netral
"rising prices, safe for the Indonesian economy, the threat of a global recession",Negatif,Positif
according to the price of positive impact,Positif,Netral
